feature_name,feature_index
ctx__rec_trust_score,1017
ctx__rec_trust_high_flag,1018
ctx__rec_trust_low_flag,1019
ctx__rec_cut_candidate,1020
ctx__rec_follow_candidate,1021
ctx__rec_add_candidate,1022
ctx__recent_sales_all_zero,1023
ctx__sparse_guardrail_score,1024
ctx__rec_size_class,1025
ctx__proj_need_size_class,1026
ctx__shortage_size_class,1027
ctx__dc_size_class,1028
ctx__one_flm_candidate,1029
ctx__two_flm_candidate,1030
ctx__large_alloc_candidate,1031
ctx__site_total_shortage,1032
ctx__site_total_alloc_rec,1033
ctx__site_avg_velocity,1034
ctx__site_avg_supply_gap,1035
ctx__site_rows_with_positive_rec,1036
ctx__site_positive_rec_rate,1037
ctx__site_share_of_class_line_need,1038
ctx__site_need_percentile_v37,1039
ctx__peer_avg_l30,1040
ctx__peer_avg_d30,1041
ctx__peer_avg_d60,1042
ctx__peer_avg_supply,1043
ctx__peer_avg_proj,1044
ctx__peer_avg_rec,1045
ctx__row_l30_vs_peer_avg,1046
ctx__row_proj_vs_peer_avg,1047
ctx__row_rec_vs_peer_avg,1048
ctx__row_supply_gap_vs_peer_avg,1049
ctx__requires_cut_behavior,1050
ctx__requires_rescue_behavior,1051
ctx__requires_review_rank_behavior,1052
ctx__requires_low_dc_behavior,1053
ctx__requires_sparse_demand_behavior,1054
ctx__requires_large_alloc_behavior,1055
ctx__review_competition_score,1056
ctx__review_top_5pct_need,1057
ctx__review_top_10pct_need,1058
ctx__review_above_group_median_need,1059
ctx__review_below_group_median_need,1060
ctx__allocate_cut_candidate,1061
ctx__allocate_rescue_candidate,1062
ctx__allocate_follow_rec_candidate,1063
ctx__allocate_reduce_to_1flm_candidate,1064
ctx__allocate_zero_out_candidate,1065
ctx__rank_demand_alignment,1066
ctx__high_rank_high_need,1067
ctx__high_rank_low_need,1068
ctx__low_rank_high_need,1069
ctx__low_rank_low_need,1070
ctx__cost_percentile_in_class_line,1071
ctx__cost_x_one_flm,1072
ctx__cost_x_rec_flms,1073
ctx__cost_adjusted_shortage,1074
ctx__cost_adjusted_oversupply_risk,1075
