segment,rows,mae_units,rmse_units,exact_rate,within_1_flm_rate,false_positives,false_negatives,pred_units,actual_units,unit_delta,negative_violations,over_dc_violations,group_col,group_value
Site=234,137,0.19708029197080293,1.3097054887085435,0.9708029197080292,1.0,1,3,338.0,351.0,-13.0,0,0,Site,234
Site=235,118,0.05084745762711865,0.2603778219616477,0.9576271186440678,1.0,0,3,231.0,237.0,-6.0,0,0,Site,235
Site=236,175,0.22285714285714286,1.3585706774821418,0.9428571428571428,0.9885714285714285,2,2,583.0,596.0,-13.0,0,0,Site,236
Site=237,105,0.23809523809523808,1.6590301240125065,0.9714285714285714,1.0,2,1,230.0,229.0,1.0,0,0,Site,237
Site=238,191,0.31413612565445026,1.4651269087143077,0.9162303664921466,0.9895287958115183,2,9,690.0,726.0,-36.0,0,0,Site,238
Site=239,200,0.385,2.219234102117215,0.93,0.995,1,6,641.0,712.0,-71.0,0,0,Site,239
Site=240,182,0.18681318681318682,1.1952286093343936,0.967032967032967,0.9835164835164835,0,5,746.0,768.0,-22.0,0,0,Site,240
Site=241,109,0.009174311926605505,0.09578262852211514,0.9908256880733946,1.0,0,1,259.0,260.0,-1.0,0,0,Site,241
Site=242,170,0.07647058823529412,0.9235481451827989,0.9882352941176471,1.0,0,1,434.0,445.0,-11.0,0,0,Site,242
Site=243,182,0.11538461538461539,0.8153742483272113,0.9615384615384616,1.0,2,3,755.0,746.0,9.0,0,0,Site,243
Site=244,149,0.19463087248322147,1.4118387268395873,0.9664429530201343,1.0,0,3,588.0,613.0,-25.0,0,0,Site,244
Site=245,127,0.3228346456692913,1.662461887550826,0.9291338582677166,1.0,0,6,307.0,342.0,-35.0,0,0,Site,245
Site=246,141,0.2127659574468085,1.1909826683508273,0.9290780141843972,1.0,2,3,427.0,431.0,-4.0,0,0,Site,246
